trade_id,date,symbol,side,profit
1,2024-01-02,EURUSD,BUY,80
2,2024-01-03,EURUSD,SELL,-30
3,2024-01-04,EURUSD,BUY,75
4,2024-01-05,EURUSD,SELL,-25
5,2024-01-08,EURUSD,BUY,90
6,2024-01-09,EURUSD,SELL,-35
7,2024-01-10,EURUSD,BUY,85
8,2024-01-11,EURUSD,SELL,-30
9,2024-01-12,EURUSD,BUY,70
10,2024-01-15,EURUSD,SELL,-28
11,2024-01-16,EURUSD,BUY,95
12,2024-01-17,EURUSD,SELL,-32
13,2024-01-18,EURUSD,BUY,88
14,2024-01-19,EURUSD,SELL,-27
15,2024-01-22,EURUSD,BUY,92
16,2024-01-23,EURUSD,SELL,-30
17,2024-01-24,EURUSD,BUY,84
18,2024-01-25,EURUSD,SELL,-29
19,2024-01-26,EURUSD,BUY,91
20,2024-01-29,EURUSD,SELL,-31
21,2024-01-30,EURUSD,BUY,86
22,2024-01-31,EURUSD,SELL,-26
23,2024-02-01,EURUSD,BUY,89
24,2024-02-02,EURUSD,SELL,-33
25,2024-02-05,EURUSD,BUY,94
26,2024-02-06,EURUSD,SELL,-34
27,2024-02-07,EURUSD,BUY,87
28,2024-02-08,EURUSD,SELL,-30
29,2024-02-09,EURUSD,BUY,90
30,2024-02-12,EURUSD,SELL,-28
